case_id;wealth_index;region_combined;province;household_member;woman_member;children_under_5;house_ownership;owns_another_house;rooms_number;bedroom_number;drinking_water_source;non_drinking_water_source;toilet_location;toilet_type;heating;floor_material;refrigerator;deep_freezer;gas_electiric;microwave;dishwasher;garbage_grinder;washing_machine;washer_dryer;iron;vacuum_cleaner;lcd_plasma_tv;home_theather;television;satallite_antenna;cable_tv;dvd_vcd_player;mobile_phone;non_mobile_phone;laptop;computer;internet;air_conditioner;car;taxi_minibus;tractor;motorcycle
      010101;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;1;2;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No
      010102;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Rented;No;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No
      010103;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;2;0;Rented;No;4;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No
      010104;Middle;West - Istanbul - Urban/Metropol;Istanbul;2;1;0;Owned by a HH member;No;4;1;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;No
      010106;Richer;West - Istanbul - Urban/Metropol;Istanbul;6;1;2;No rent paid;No;4;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010107;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Rented;No;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No
      010110;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Owned by a HH member;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No
      010111;Richer;West - Istanbul - Urban/Metropol;Istanbul;2;1;0;Owned by a HH member;No;4;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No
      010112;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Owned by a HH member;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010113;Richer;West - Istanbul - Urban/Metropol;Istanbul;1;0;0;Rented;Yes;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes
      010115;Richer;West - Istanbul - Urban/Metropol;Istanbul;2;1;0;No rent paid;No;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No
